rank,score
488,0.0642601
489,0.0642603
490,0.0642606
491,0.0642610
492,0.0642623
493,0.0642624
494,0.0642625
495,0.0642625
496,0.0642645
497,0.0642653
498,0.0642656
499,0.0642669
500,0.0642687
501,0.0642694
502,0.0642699
503,0.0642702
504,0.0642702
505,0.0642705
506,0.0642706
507,0.0642706
508,0.0642706
509,0.0642706
510,0.0642711
511,0.0642717
512,0.0642731
513,0.0642731
514,0.0642731
515,0.0642742
516,0.0642752
517,0.0642763
518,0.0642772
519,0.0642780
520,0.0642794
521,0.0642800
522,0.0642802
523,0.0642809
524,0.0642812
525,0.0642817
526,0.0642826
527,0.0642827
528,0.0642856
529,0.0642878
530,0.0642883
531,0.0642887
532,0.0642887
533,0.0642896
534,0.0642901
535,0.0642912
536,0.0642916
537,0.0642924
538,0.0642934
539,0.0642949
540,0.0642950
541,0.0642974
542,0.0642976
543,0.0642978
544,0.0643002
545,0.0643032
546,0.0643034
547,0.0643036
548,0.0643041
549,0.0643058
550,0.0643066
551,0.0643067
552,0.0643077
553,0.0643085
554,0.0643103
555,0.0643107
556,0.0643119
557,0.0643128
558,0.0643129
559,0.0643131
560,0.0643156
561,0.0643157
562,0.0643158
563,0.0643160
564,0.0643167
565,0.0643170
566,0.0643172
567,0.0643172
568,0.0643174
569,0.0643181
570,0.0643188
571,0.0643204
572,0.0643211
573,0.0643213
574,0.0643217
575,0.0643219
576,0.0643227
577,0.0643228
578,0.0643234
579,0.0643238
580,0.0643245
581,0.0643251
582,0.0643275
583,0.0643276
584,0.0643296
585,0.0643300
586,0.0643301
587,0.0643317
588,0.0643319
589,0.0643326
590,0.0643331
591,0.0643343
592,0.0643348
593,0.0643351
594,0.0643353
595,0.0643355
596,0.0643356
597,0.0643375
598,0.0643381
599,0.0643383
600,0.0643388
601,0.0643389
602,0.0643394
603,0.0643400
604,0.0643401
605,0.0643418
606,0.0643427
607,0.0643432
608,0.0643447
609,0.0643449
610,0.0643459
611,0.0643459
612,0.0643464
613,0.0643465
614,0.0643467
615,0.0643471
616,0.0643478
617,0.0643483
618,0.0643485
619,0.0643486
620,0.0643486
621,0.0643486
622,0.0643486
623,0.0643486
624,0.0643486
625,0.0643486
626,0.0643486
627,0.0643486
628,0.0643486
629,0.0643486
630,0.0643486
631,0.0643486
632,0.0643486
633,0.0643486
634,0.0643486
635,0.0643486
636,0.0643486
637,0.0643486
638,0.0643486
639,0.0643486
640,0.0643486
641,0.0643486
642,0.0643486
643,0.0643486
644,0.0643486
645,0.0643486
646,0.0643486
647,0.0643486
648,0.0643486
649,0.0643486
650,0.0643486
651,0.0643486
652,0.0643486
653,0.0643486
654,0.0643486
655,0.0643486
656,0.0643486
657,0.0643486
658,0.0643486
659,0.0643486
660,0.0643486
661,0.0643486
662,0.0643486
663,0.0643486
664,0.0643486
665,0.0643486
666,0.0643486
667,0.0643489
668,0.0643491
669,0.0643512
670,0.0643524
671,0.0643526
672,0.0643528
673,0.0643528
674,0.0643528
675,0.0643528
676,0.0643528
677,0.0643528
678,0.0643528
679,0.0643532
680,0.0643534
681,0.0643546
682,0.0643569
683,0.0643589
684,0.0643594
685,0.0643603
686,0.0643607
687,0.0643607
688,0.0643607
689,0.0643607
690,0.0643608
691,0.0643608
692,0.0643620
693,0.0643625
694,0.0643626
695,0.0643627
696,0.0643628
697,0.0643631
698,0.0643631
699,0.0643634
700,0.0643637
701,0.0643645
702,0.0643645
703,0.0643645
704,0.0643645
705,0.0643645
706,0.0643648
707,0.0643649
708,0.0643649
709,0.0643650
710,0.0643652
711,0.0643653
712,0.0643657
713,0.0643657
714,0.0643657
715,0.0643659
716,0.0643660
717,0.0643661
718,0.0643664
719,0.0643669
720,0.0643673
721,0.0643674
722,0.0643674
723,0.0643677
724,0.0643678
725,0.0643679
726,0.0643680
727,0.0643687
728,0.0643688
729,0.0643690
730,0.0643691
731,0.0643695
732,0.0643695
733,0.0643696
734,0.0643697
735,0.0643697
736,0.0643698
737,0.0643698
738,0.0643698
739,0.0643706
740,0.0643706
741,0.0643706
742,0.0643706
743,0.0643707
744,0.0643707
745,0.0643707
746,0.0643707
747,0.0643707
748,0.0643707
749,0.0643708
750,0.0643708
751,0.0643708
752,0.0643708
753,0.0643708
754,0.0643708
755,0.0643708
756,0.0643710
757,0.0643710
758,0.0643711
759,0.0643712
760,0.0643713
761,0.0643713
762,0.0643714
763,0.0643716
764,0.0643716
765,0.0643716
766,0.0643720
767,0.0643722
768,0.0643722
769,0.0643722
770,0.0643724
771,0.0643725
772,0.0643726
773,0.0643726
774,0.0643727
775,0.0643727
776,0.0643727
777,0.0643731
778,0.0643733
779,0.0643734
780,0.0643734
781,0.0643736
782,0.0643737
783,0.0643737
784,0.0643737
785,0.0643738
786,0.0643739
787,0.0643742
788,0.0643742
789,0.0643743
790,0.0643743
791,0.0643744
792,0.0643744
793,0.0643744
794,0.0643746
795,0.0643747
796,0.0643750
797,0.0643751
798,0.0643751
799,0.0643751
800,0.0643753
801,0.0643755
802,0.0643755
803,0.0643756
804,0.0643758
805,0.0643758
806,0.0643759
807,0.0643759
808,0.0643759
809,0.0643759
810,0.0643760
811,0.0643762
812,0.0643762
813,0.0643763
814,0.0643763
815,0.0643763
816,0.0643763
817,0.0643763
818,0.0643763
819,0.0643763
820,0.0643764
821,0.0643764
822,0.0643764
823,0.0643764
824,0.0643764
825,0.0643765
826,0.0643765
827,0.0643767
828,0.0643768
829,0.0643768
830,0.0643770
831,0.0643771
832,0.0643771
833,0.0643771
834,0.0643771
835,0.0643771
836,0.0643771
837,0.0643771
838,0.0643771
839,0.0643771
840,0.0643771
841,0.0643771
842,0.0643773
843,0.0643774
844,0.0643774
845,0.0643774
846,0.0643774
847,0.0643774
848,0.0643775
849,0.0643775
850,0.0643775
851,0.0643775
852,0.0643775
853,0.0643777
854,0.0643777
855,0.0643777
856,0.0643777
857,0.0643777
858,0.0643777
859,0.0643777
860,0.0643777
861,0.0643777
862,0.0643777
863,0.0643777
864,0.0643777
865,0.0643777
866,0.0643777
867,0.0643777
868,0.0643777
869,0.0643777
870,0.0643777
871,0.0643777
872,0.0643777
873,0.0643777
874,0.0643777
875,0.0643777
876,0.0643777
877,0.0643777
878,0.0643777
879,0.0643777
880,0.0643777
881,0.0643777
882,0.0643777
883,0.0643777
884,0.0643777
885,0.0643777
886,0.0643777
887,0.0643777
888,0.0643777
889,0.0643777
890,0.0643777
891,0.0643777
892,0.0643777
893,0.0643777
894,0.0643777
895,0.0643777
896,0.0643777
897,0.0643777
898,0.0643777
899,0.0643777
900,0.0643777
901,0.0643777
902,0.0643777
903,0.0643777
904,0.0643777
905,0.0643777
906,0.0643777
907,0.0643777
908,0.0643777
909,0.0643777
910,0.0643777
911,0.0643777
912,0.0643777
913,0.0643777
914,0.0643777
915,0.0643777
916,0.0643777
917,0.0643777
918,0.0643777
919,0.0643777
920,0.0643777
921,0.0643777
922,0.0643777
923,0.0643777
924,0.0643777
925,0.0643777
926,0.0643777
927,0.0643777
928,0.0643777
929,0.0643777
930,0.0643777
931,0.0643777
932,0.0643777
933,0.0643777
934,0.0643777
935,0.0643777
936,0.0643777
937,0.0643777
938,0.0643777
939,0.0643777
940,0.0643777
941,0.0643777
942,0.0643777
943,0.0643777
944,0.0643777
945,0.0643777
946,0.0643777
947,0.0643778
948,0.0643778
949,0.0643779
950,0.0643780
951,0.0643780
952,0.0643783
953,0.0643783
954,0.0643783
955,0.0643783
956,0.0643783
957,0.0643783
958,0.0643783
959,0.0643783
960,0.0643784
961,0.0643785
962,0.0643785
963,0.0643785
964,0.0643785
965,0.0643785
966,0.0643787
967,0.0643788
968,0.0643788
969,0.0643788
970,0.0643788
971,0.0643789
972,0.0643789
973,0.0643789
974,0.0643789
975,0.0643789
976,0.0643789
977,0.0643789
978,0.0643791
979,0.0643791
980,0.0643791
981,0.0643792
982,0.0643792
983,0.0643792
984,0.0643792
985,0.0643792
986,0.0643792
987,0.0643792
988,0.0643792
989,0.0643792
990,0.0643792
991,0.0643793
992,0.0643793
993,0.0643795
994,0.0643795
995,0.0643796
996,0.0643797
997,0.0643797
998,0.0643797
999,0.0643797
1000,0.0643797
1001,0.0643797
1002,0.0643797
1003,0.0643797
1004,0.0643797
1005,0.0643797
1006,0.0643797
1007,0.0643797
1008,0.0643801
1009,0.0643803
1010,0.0643804
1011,0.0643804
1012,0.0643804
1013,0.0643807
1014,0.0643807
1015,0.0643808
1016,0.0643808
1017,0.0643809
1018,0.0643813
1019,0.0643814
1020,0.0643815
1021,0.0643816
1022,0.0643818
1023,0.0643818
1024,0.0643818
1025,0.0643819
1026,0.0643819
1027,0.0643820
1028,0.0643821
1029,0.0643821
1030,0.0643822
1031,0.0643822
1032,0.0643822
1033,0.0643822
1034,0.0643823
1035,0.0643829
1036,0.0643831
1037,0.0643833
1038,0.0643836
1039,0.0643848
1040,0.0643848
1041,0.0643854
1042,0.0643861
1043,0.0643869
1044,0.0643872
1045,0.0643879
1046,0.0643882
1047,0.0643886
1048,0.0643896
1049,0.0643904
1050,0.0643906
1051,0.0643913
1052,0.0643913
1053,0.0643913
1054,0.0643913
1055,0.0643913
1056,0.0643913
1057,0.0643922
1058,0.0643922
1059,0.0643923
1060,0.0643928
1061,0.0643932
1062,0.0643932
1063,0.0643933
1064,0.0643933
1065,0.0643936
1066,0.0643938
1067,0.0643941
1068,0.0643943
1069,0.0643946
1070,0.0643949
1071,0.0643955
1072,0.0643956
1073,0.0643957
1074,0.0643959
1075,0.0643963
1076,0.0643965
1077,0.0643967
1078,0.0643968
1079,0.0643968
1080,0.0643968
1081,0.0643970
1082,0.0643973
1083,0.0643973
1084,0.0643977
1085,0.0643989
1086,0.0643991
1087,0.0643995
1088,0.0643997
1089,0.0644002
1090,0.0644005
1091,0.0644005
1092,0.0644011
1093,0.0644012
1094,0.0644016
1095,0.0644018
1096,0.0644021
1097,0.0644024
1098,0.0644029
1099,0.0644029
1100,0.0644029
1101,0.0644029
1102,0.0644029
1103,0.0644029
1104,0.0644029
1105,0.0644030
1106,0.0644031
1107,0.0644034
1108,0.0644035
1109,0.0644036
1110,0.0644036
1111,0.0644036
1112,0.0644036
1113,0.0644037
1114,0.0644038
1115,0.0644038
1116,0.0644038
1117,0.0644039
1118,0.0644039
1119,0.0644040
1120,0.0644040
1121,0.0644042
1122,0.0644042
1123,0.0644042
1124,0.0644042
1125,0.0644042
1126,0.0644042
1127,0.0644042
1128,0.0644042
1129,0.0644042
1130,0.0644042
1131,0.0644042
1132,0.0644042
1133,0.0644043
1134,0.0644044
1135,0.0644045
1136,0.0644045
1137,0.0644048
1138,0.0644048
1139,0.0644048
1140,0.0644048
1141,0.0644048
1142,0.0644048
1143,0.0644048
1144,0.0644049
1145,0.0644049
1146,0.0644052
1147,0.0644052
1148,0.0644053
1149,0.0644053
1150,0.0644053
1151,0.0644053
1152,0.0644054
1153,0.0644054
1154,0.0644055
1155,0.0644060
1156,0.0644060
1157,0.0644060
1158,0.0644060
1159,0.0644064
1160,0.0644065
1161,0.0644068
1162,0.0644072
1163,0.0644073
1164,0.0644074
1165,0.0644074
1166,0.0644074
1167,0.0644074
1168,0.0644074
1169,0.0644074
1170,0.0644075
1171,0.0644079
1172,0.0644080
1173,0.0644084
1174,0.0644084
1175,0.0644086
1176,0.0644086
1177,0.0644087
1178,0.0644089
1179,0.0644093
1180,0.0644094
1181,0.0644095
1182,0.0644095
1183,0.0644096
1184,0.0644096
1185,0.0644096
1186,0.0644100
1187,0.0644101
1188,0.0644104
1189,0.0644105
1190,0.0644106
1191,0.0644107
1192,0.0644112
1193,0.0644113
1194,0.0644113
1195,0.0644116
1196,0.0644116
1197,0.0644121
1198,0.0644122
1199,0.0644128
1200,0.0644130
1201,0.0644133
1202,0.0644134
1203,0.0644135
1204,0.0644136
1205,0.0644136
1206,0.0644139
1207,0.0644142
1208,0.0644149
1209,0.0644150
1210,0.0644150
1211,0.0644150
1212,0.0644155
1213,0.0644157
1214,0.0644157
1215,0.0644160
1216,0.0644163
1217,0.0644163
1218,0.0644165
1219,0.0644166
1220,0.0644170
1221,0.0644170
1222,0.0644171
1223,0.0644174
1224,0.0644174
1225,0.0644174
1226,0.0644175
1227,0.0644175
1228,0.0644183
1229,0.0644185
1230,0.0644186
1231,0.0644186
1232,0.0644188
1233,0.0644193
1234,0.0644193
1235,0.0644194
1236,0.0644200
1237,0.0644200
1238,0.0644200
1239,0.0644200
1240,0.0644200
1241,0.0644202
1242,0.0644207
1243,0.0644208
1244,0.0644208
1245,0.0644214
1246,0.0644215
1247,0.0644215
1248,0.0644216
1249,0.0644219
1250,0.0644219
1251,0.0644219
1252,0.0644221
1253,0.0644221
1254,0.0644223
1255,0.0644224
1256,0.0644227
1257,0.0644227
1258,0.0644229
1259,0.0644229
1260,0.0644231
1261,0.0644234
1262,0.0644240
1263,0.0644242
1264,0.0644242
1265,0.0644243
1266,0.0644243
1267,0.0644244
1268,0.0644245
1269,0.0644245
1270,0.0644245
1271,0.0644246
1272,0.0644247
1273,0.0644247
1274,0.0644247
1275,0.0644248
1276,0.0644248
1277,0.0644248
1278,0.0644261
1279,0.0644263
1280,0.0644267
1281,0.0644269
1282,0.0644269
1283,0.0644273
1284,0.0644274
1285,0.0644275
1286,0.0644275
1287,0.0644275
1288,0.0644276
1289,0.0644279
1290,0.0644286
1291,0.0644287
1292,0.0644287
1293,0.0644297
1294,0.0644302
1295,0.0644304
1296,0.0644304
1297,0.0644311
1298,0.0644318
1299,0.0644320
1300,0.0644325
1301,0.0644330
1302,0.0644338
1303,0.0644342
1304,0.0644350
1305,0.0644350
1306,0.0644358
1307,0.0644369
1308,0.0644372
1309,0.0644380
1310,0.0644388
1311,0.0644388
1312,0.0644390
1313,0.0644392
1314,0.0644393
1315,0.0644393
1316,0.0644397
1317,0.0644397
1318,0.0644399
1319,0.0644399
1320,0.0644401
1321,0.0644414
1322,0.0644415
1323,0.0644419
1324,0.0644419
1325,0.0644420
1326,0.0644425
1327,0.0644429
1328,0.0644434
1329,0.0644435
1330,0.0644439
1331,0.0644446
1332,0.0644450
1333,0.0644466
1334,0.0644475
1335,0.0644488
1336,0.0644492
1337,0.0644492
1338,0.0644503
1339,0.0644503
1340,0.0644506
1341,0.0644528
1342,0.0644531
1343,0.0644532
1344,0.0644551
1345,0.0644562
1346,0.0644564
1347,0.0644572
1348,0.0644575
1349,0.0644583
1350,0.0644585
1351,0.0644585
1352,0.0644599
1353,0.0644601
1354,0.0644609
1355,0.0644612
1356,0.0644612
1357,0.0644612
1358,0.0644612
1359,0.0644618
1360,0.0644620
1361,0.0644621
1362,0.0644622
1363,0.0644622
1364,0.0644623
1365,0.0644624
1366,0.0644626
1367,0.0644627
1368,0.0644628
1369,0.0644632
1370,0.0644637
1371,0.0644641
1372,0.0644659
1373,0.0644667
1374,0.0644668
1375,0.0644673
1376,0.0644686
1377,0.0644688
1378,0.0644691
1379,0.0644691
1380,0.0644692
1381,0.0644694
1382,0.0644695
1383,0.0644697
1384,0.0644697
1385,0.0644697
1386,0.0644699
1387,0.0644702
1388,0.0644703
1389,0.0644704
1390,0.0644710
1391,0.0644710
1392,0.0644711
1393,0.0644711
1394,0.0644715
1395,0.0644719
1396,0.0644721
1397,0.0644721
1398,0.0644728
1399,0.0644728
1400,0.0644734
1401,0.0644736
1402,0.0644769
1403,0.0644774
1404,0.0644788
1405,0.0644799
1406,0.0644801
1407,0.0644803
1408,0.0644817
1409,0.0644821
1410,0.0644824
1411,0.0644826
1412,0.0644830
1413,0.0644837
1414,0.0644837
1415,0.0644841
1416,0.0644847
1417,0.0644848
1418,0.0644865
1419,0.0644870
1420,0.0644894
1421,0.0644904
1422,0.0644906
1423,0.0644909
1424,0.0644917
1425,0.0644918
1426,0.0644924
1427,0.0644929
1428,0.0644929
1429,0.0644940
1430,0.0644950
1431,0.0644950
1432,0.0644972
1433,0.0644987
1434,0.0644987
1435,0.0645005
1436,0.0645009
1437,0.0645020
1438,0.0645025
1439,0.0645030
1440,0.0645036
1441,0.0645050
1442,0.0645061
1443,0.0645065
1444,0.0645065
1445,0.0645066
1446,0.0645077
1447,0.0645081
1448,0.0645081
1449,0.0645082
1450,0.0645088
1451,0.0645090
1452,0.0645110
1453,0.0645114
1454,0.0645117
1455,0.0645119
1456,0.0645122
1457,0.0645123
1458,0.0645125
1459,0.0645127
1460,0.0645133
1461,0.0645136
1462,0.0645138
1463,0.0645150
1464,0.0645152
1465,0.0645153
1466,0.0645167
1467,0.0645175
1468,0.0645179
1469,0.0645181
1470,0.0645184
1471,0.0645187
1472,0.0645189
1473,0.0645205
1474,0.0645207
1475,0.0645211
1476,0.0645213
1477,0.0645225
1478,0.0645225
1479,0.0645225
1480,0.0645225
1481,0.0645233
1482,0.0645250
1483,0.0645250
1484,0.0645261
1485,0.0645278
1486,0.0645281
1487,0.0645295
1488,0.0645299
1489,0.0645305
1490,0.0645310
1491,0.0645313
1492,0.0645332
1493,0.0645336
1494,0.0645339
1495,0.0645344
1496,0.0645349
1497,0.0645358
1498,0.0645358
1499,0.0645358
1500,0.0645361
1501,0.0645363
1502,0.0645363
1503,0.0645365
1504,0.0645373
1505,0.0645376
1506,0.0645377
1507,0.0645394
1508,0.0645397
1509,0.0645397
1510,0.0645397
1511,0.0645397
1512,0.0645397
1513,0.0645397
1514,0.0645400
1515,0.0645413
1516,0.0645416
1517,0.0645423
1518,0.0645423
1519,0.0645431
1520,0.0645433
1521,0.0645450
1522,0.0645456
1523,0.0645460
1524,0.0645463
1525,0.0645466
1526,0.0645471
1527,0.0645474
1528,0.0645476
1529,0.0645478
1530,0.0645478
1531,0.0645478
1532,0.0645478
1533,0.0645478
1534,0.0645478
1535,0.0645478
1536,0.0645478
1537,0.0645478
1538,0.0645478
1539,0.0645478
1540,0.0645478
1541,0.0645478
1542,0.0645478
1543,0.0645478
1544,0.0645478
1545,0.0645492
1546,0.0645503
1547,0.0645506
1548,0.0645512
1549,0.0645513
1550,0.0645531
1551,0.0645532
1552,0.0645532
1553,0.0645538
1554,0.0645540
1555,0.0645547
1556,0.0645549
1557,0.0645553
1558,0.0645559
1559,0.0645561
1560,0.0645565
1561,0.0645574
1562,0.0645590
1563,0.0645603
1564,0.0645611
1565,0.0645611
1566,0.0645612
1567,0.0645614
1568,0.0645638
1569,0.0645643
1570,0.0645649
1571,0.0645651
1572,0.0645652
1573,0.0645670
1574,0.0645672
1575,0.0645674
1576,0.0645674
1577,0.0645684
1578,0.0645690
1579,0.0645691
1580,0.0645695
1581,0.0645708
1582,0.0645713
1583,0.0645714
1584,0.0645725
1585,0.0645736
1586,0.0645743
1587,0.0645749
1588,0.0645767
1589,0.0645782
1590,0.0645783
1591,0.0645789
1592,0.0645790
1593,0.0645799
1594,0.0645809
1595,0.0645809
1596,0.0645824
1597,0.0645834
1598,0.0645836
1599,0.0645838
1600,0.0645842
1601,0.0645842
1602,0.0645843
1603,0.0645844
1604,0.0645852
1605,0.0645859
1606,0.0645870
1607,0.0645872
1608,0.0645874
1609,0.0645883
1610,0.0645889
1611,0.0645889
1612,0.0645889
1613,0.0645894
1614,0.0645898
1615,0.0645903
1616,0.0645907
1617,0.0645924
1618,0.0645925
1619,0.0645926
1620,0.0645929
1621,0.0645935
1622,0.0645935
1623,0.0645952
1624,0.0645955
1625,0.0645959
1626,0.0645964
1627,0.0645974
1628,0.0645985
1629,0.0645985
1630,0.0645991
1631,0.0645993
1632,0.0646021
1633,0.0646031
1634,0.0646035
1635,0.0646047
1636,0.0646051
1637,0.0646052
1638,0.0646052
1639,0.0646058
1640,0.0646062
1641,0.0646066
1642,0.0646068
1643,0.0646074
1644,0.0646075
1645,0.0646087
1646,0.0646095
1647,0.0646096
1648,0.0646105
1649,0.0646106
1650,0.0646109
1651,0.0646110
1652,0.0646127
1653,0.0646137
1654,0.0646140
1655,0.0646144
1656,0.0646148
1657,0.0646149
1658,0.0646154
1659,0.0646160
1660,0.0646164
1661,0.0646174
1662,0.0646174
1663,0.0646176
1664,0.0646177
1665,0.0646177
